SampleId	SampleGroup	SampleName	DatasetName	Sample Name	source_name
SRR9264343	ETV6-RUNX1	ETV6-RUNX1_1	Caron	GSM3872434	ETV6-RUNX1
SRR9264344	ETV6-RUNX1	ETV6-RUNX1_2	Caron	GSM3872435	ETV6-RUNX1
SRR9264345	ETV6-RUNX1	ETV6-RUNX1_3	Caron	GSM3872436	ETV6-RUNX1
SRR9264346	ETV6-RUNX1	ETV6-RUNX1_4	Caron	GSM3872437	ETV6-RUNX1
SRR9264352	PBMMC	PBMMC_1	Caron	GSM3872442	PBMMC
SRR9264353	PBMMC	PBMMC_2	Caron	GSM3872443	PBMMC
SRR9264354	PBMMC	PBMMC_3	Caron	GSM3872444	PBMMC
